pc_timestamp,sample_index,raw_value
1100732,0,5218
1101732,1,6075
1102732,2,6688
1103728,3,1928
1104728,4,808
1105732,5,1878
1106728,6,3040
1107732,7,2709
1108728,8,1933
1109732,9,3956
1110732,10,5198
1111728,11,6088
1112728,12,5711
1113728,13,6375
1114732,14,5616
1115728,15,3658
1116728,16,3492
1117732,17,5263
1118728,18,5913
1119728,19,2984
1120728,20,847
1121732,21,2581
1122728,22,2741
1123732,23,1857
1124728,24,1605
1125732,25,3686
1126732,26,5941
1127728,27,8064
1128728,28,6985
1129732,29,5869
1130728,30,6929
1131732,31,5628
1132728,32,6280
1133728,33,4605
1134728,34,3153
1135728,35,1932
1136728,36,2547
1137728,37,-908
1138728,38,2176
1139732,39,5404
1140728,40,10103
1141728,41,10534
1142728,42,10239
1143728,43,5545
1144728,44,2164
1145732,45,-1868
1146728,46,-2187
1147728,47,-1833
1148732,48,-2258
1149728,49,7566
1150732,50,12258
1151732,51,12373
1152732,52,11235
1153728,53,6368
1154728,54,3589
1155732,55,-359
1156732,56,-1366
1157728,57,-2557
1158732,58,1229
1159728,59,4913
1160732,60,5894
1161728,61,7015
1162728,62,6735
1163728,63,7396
1164732,64,5891
1165728,65,3931
1166728,66,120
1167728,67,-183
1168732,68,-940
1169728,69,1429
1170732,70,4094
1171728,71,9397
1172728,72,12159
1173728,73,8299
1174728,74,6336
1175728,75,2197
1176732,76,336
1177732,77,3117
1178728,78,2284
1179728,79,1281
1180728,80,1222
1181728,81,5203
1182732,82,7734
1183728,83,6240
1184728,84,5990
1185732,85,1861
1186728,86,4433
1187728,87,5459
1188732,88,4862
1189728,89,3724
1190728,90,1753
1191732,91,4557
1192728,92,1798
1193728,93,5755
1194728,94,8242
1195732,95,9675
1196728,96,6762
1197728,97,3504
1198728,98,-3681
1199732,99,-3353
1200728,100,589
1201728,101,3573
1202732,102,6799
1203728,103,8552
1204728,104,9423
1205728,105,10531
1206728,106,9541
1207732,107,8399
1208732,108,2866
1209728,109,898
1210732,110,-1953
1211728,111,-1941
1212728,112,196
1213732,113,1344
1214728,114,3944
1215728,115,6636
1216728,116,6903
1217732,117,6761
1218732,118,7387
1219728,119,5194
1220728,120,6387
1221728,121,6675
1222728,122,6673
1223732,123,5246
1224728,124,3950
1225736,125,2156
1226732,126,-1010
1227728,127,-1350
1228732,128,-414
1229728,129,-552
1230728,130,528
1231728,131,2224
1232732,132,7737
1233728,133,12015
1234728,134,13856
1235728,135,13276
1236728,136,9581
1237728,137,4371
1238728,138,-1447
1239728,139,-2443
1240728,140,-2387
1241728,141,-850
1242728,142,934
1243728,143,1102
1244728,144,4385
1245728,145,7951
1246732,146,6857
1247728,147,6774
1248728,148,3767
1249728,149,1911
1250732,150,6710
1251728,151,8707
1252728,152,9369
1253732,153,8261
1254728,154,5067
1255728,155,5528
1256732,156,3149
1257732,157,743
1258732,158,-2047
1259728,159,-3919
1260728,160,1797
1261728,161,5150
1262732,162,6775
1263728,163,7777
1264728,164,7560
1265728,165,9042
1266732,166,10223
1267728,167,7267
1268732,168,2104
1269728,169,954
1270728,170,2441
1271732,171,-148
1272732,172,-1091
1273732,173,3244
1274728,174,3899
1275728,175,5841
1276728,176,7290
1277728,177,8724
1278732,178,6884
1279732,179,5037
1280732,180,4393
1281728,181,2141
1282732,182,1534
1283732,183,-968
1284732,184,641
1285732,185,5793
1286728,186,6131
1287732,187,7282
1288728,188,4235
1289732,189,4364
1290728,190,-845
1291732,191,4521
1292728,192,6885
1293732,193,6261
1294728,194,10373
1295728,195,7920
1296732,196,6401
1297728,197,1425
1298732,198,-422
1299728,199,-1513
1300732,200,2458
1301728,201,3162
1302732,202,3453
1303728,203,4483
1304728,204,4013
1305728,205,6096
1306728,206,7080
1307728,207,7328
1308728,208,4525
1309728,209,1938
1310732,210,1660
1311728,211,375
1312732,212,2420
1313732,213,6953
1314728,214,7372
1315728,215,8985
1316728,216,7083
1317728,217,5384
1318732,218,2008
1319728,219,-1996
1320732,220,4189
1321728,221,2230
1322728,222,1375
1323732,223,6112
1324732,224,10569
1325732,225,10709
1326732,226,3894
1327728,227,-3001
1328732,228,2308
1329728,229,8872
1330732,230,8378
1331732,231,8297
1332728,232,2201
1333732,233,-460
1334732,234,-1538
1335728,235,-281
1336732,236,3194
1337728,237,5570
1338728,238,8688
1339728,239,9118
1340728,240,7588
1341732,241,5116
1342728,242,1476
1343732,243,-324
1344732,244,-325
1345728,245,3478
1346732,246,5644
1347728,247,7553
1348728,248,6678
1349732,249,2287
1350728,250,5149
1351732,251,7023
1352728,252,5074
1353736,253,3205
1354728,254,-269
1355728,255,74
1356732,256,3378
1357732,257,6035
1358728,258,6531
1359732,259,4796
1360728,260,5146
1361732,261,4132
1362728,262,316
1363728,263,4714
1364732,264,4137
1365728,265,7645
1366728,266,9277
1367732,267,7274
1368728,268,3699
1369728,269,0
1370728,270,347
1371728,271,1348
1372728,272,3485
1373728,273,2434
1374728,274,2444
1375732,275,4397
1376728,276,7594
1377728,277,8262
1378732,278,7023
1379728,279,4324
1380732,280,4332
1381732,281,4612
1382728,282,4117
1383732,283,2415
1384728,284,1357
1385732,285,-1143
1386732,286,-4151
1387732,287,-2632
1388728,288,9164
1389732,289,12230
1390728,290,15446
1391728,291,16072
1392732,292,10355
1393732,293,4815
1394728,294,-2847
1395728,295,-5937
1396728,296,-5083
1397728,297,-2003
1398732,298,343
1399732,299,2518
1400728,300,4525
1401732,301,7903
1402732,302,10470
1403732,303,11196
1404728,304,7109
1405732,305,8236
1406732,306,7528
1407728,307,1639
1408732,308,-570
1409732,309,-2279
1410732,310,-1582
1411728,311,2175
1412728,312,7629
1413728,313,7682
1414728,314,7230
1415732,315,6074
1416728,316,6819
1417728,317,3444
1418728,318,837
1419728,319,2712
1420728,320,1062
1421732,321,3394
1422728,322,5605
1423728,323,8640
1424732,324,8125
1425728,325,6350
1426728,326,3915
1427728,327,1256
1428732,328,408
1429732,329,-2235
1430728,330,-3795
1431732,331,-484
1432728,332,6932
1433732,333,8673
1434728,334,12817
1435728,335,13182
1436728,336,10162
1437728,337,6015
1438732,338,1672
1439728,339,-1071
1440728,340,-3038
1441728,341,-1168
1442732,342,5207
1443728,343,6527
1444732,344,3190
1445728,345,2865
1446728,346,4926
1447728,347,4357
1448732,348,3339
1449728,349,4100
1450732,350,6202
1451728,351,6996
1452728,352,8951
1453732,353,8714
1454732,354,6811
1455732,355,1614
1456728,356,-1446
1457728,357,-1656
1458728,358,-3365
1459728,359,-3453
1460732,360,6048
1461728,361,12502
1462732,362,13098
1463732,363,13960
1464728,364,8243
1465732,365,3696
1466728,366,-3083
1467728,367,-1916
1468728,368,-2221
1469732,369,-1507
1470728,370,-1332
1471732,371,5905
1472732,372,12398
1473728,373,11633
1474728,374,11320
1475728,375,6290
1476732,376,4912
1477728,377,-1917
1478728,378,-2670
1479728,379,-2098
1480732,380,272
1481736,381,3277
1482728,382,7130
1483732,383,10951
1484732,384,9322
1485732,385,10313
1486732,386,8339
1487728,387,5352
1488732,388,1133
1489728,389,-1827
1490732,390,-1501
1491728,391,-1645
1492728,392,197
1493732,393,-1244
1494728,394,3897
1495728,395,11641
1496728,396,12541
1497732,397,11843
1498732,398,7774
1499728,399,2239
1500728,400,-722
1501732,401,666
1502728,402,847
1503728,403,-549
1504732,404,4201
1505728,405,10086
1506732,406,9599
1507732,407,6493
1508728,408,5864
1509728,409,4403
1510732,410,1880
1511732,411,1190
1512728,412,1904
1513728,413,4529
1514732,414,4633
1515732,415,4340
1516728,416,2073
1517728,417,2619
1518732,418,6227
1519728,419,3696
1520728,420,3409
1521732,421,4032
1522728,422,5639
1523728,423,8155
1524732,424,7468
1525732,425,5104
1526732,426,1343
1527728,427,2683
1528728,428,3209
1529732,429,1407
1530728,430,3232
1531728,431,1767
1532728,432,3921
1533732,433,4580
1534732,434,1349
1535732,435,2346
1536732,436,8019
1537728,437,10570
1538728,438,10717
1539728,439,10641
1540728,440,5604
1541728,441,3352
1542728,442,-3
1543728,443,-1257
1544732,444,-2738
1545728,445,-893
1546728,446,225
1547728,447,3863
1548732,448,5194
1549732,449,7991
1550728,450,9256
1551728,451,9336
1552728,452,7418
1553728,453,4759
1554732,454,2005
1555728,455,730
1556732,456,2240
1557728,457,55
1558728,458,2416
1559728,459,3059
1560728,460,4760
1561732,461,6456
1562728,462,6219
1563728,463,7538
1564732,464,4137
1565728,465,5529
1566732,466,5929
1567728,467,5298
1568728,468,3890
1569732,469,1478
1570728,470,-154
1571728,471,288
1572728,472,1653
1573728,473,2948
1574728,474,5493
1575732,475,2832
1576728,476,6315
1577728,477,7853
1578728,478,8112
1579728,479,9856
1580732,480,7743
1581732,481,6396
1582732,482,642
1583732,483,-801
1584728,484,-3147
1585728,485,433
1586728,486,3771
1587728,487,5099
1588728,488,6403
1589732,489,5947
1590728,490,6078
1591728,491,5270
1592728,492,5670
1593728,493,5432
1594728,494,4237
1595728,495,2151
1596728,496,-560
1597728,497,2278
1598728,498,1882
1599732,499,4987
1600732,500,8935
1601728,501,9552
1602732,502,7042
1603728,503,4570
1604732,504,1608
1605728,505,1329
1606732,506,59
1607728,507,2362
1608732,508,3994
1609732,509,3052
1610732,510,4944
1611728,511,6187
1612732,512,7790
1613732,513,6574
1614728,514,4753
1615728,515,1633
1616732,516,4469
1617728,517,3364
1618728,518,2013
1619728,519,4415
1620732,520,3736
1621732,521,3506
1622732,522,3385
1623728,523,4396
1624728,524,9086
1625728,525,8035
1626728,526,6338
1627728,527,2556
1628728,528,-1100
1629728,529,-5248
1630728,530,-2224
1631732,531,1420
1632732,532,9962
1633728,533,11464
1634728,534,11935
1635732,535,5632
1636728,536,1598
1637728,537,680
1638728,538,422
1639732,539,5979
1640728,540,2839
1641732,541,2610
1642732,542,3097
1643728,543,6618
1644732,544,5499
1645728,545,4830
1646728,546,5479
1647732,547,6174
1648728,548,7492
1649728,549,3835
1650732,550,-1122
1651728,551,-2490
1652728,552,-1223
1653728,553,2513
1654728,554,8191
1655732,555,8669
1656728,556,6353
1657728,557,8445
1658728,558,7739
1659728,559,6879
1660732,560,5909
1661728,561,718
1662732,562,-5411
1663732,563,-4404
1664728,564,5151
1665732,565,9556
1666728,566,11031
1667728,567,12567
1668732,568,8753
