pc_timestamp,sample_index,raw_value
1100736,0,10735
1101732,1,7500
1102732,2,5677
1103736,3,2778
1104732,4,832
1105732,5,-210
1106736,6,-797
1107736,7,419
1108736,8,551
1109736,9,1271
1110736,10,7423
1111732,11,11262
1112732,12,12105
1113736,13,7736
1114732,14,3800
1115732,15,1046
1116736,16,398
1117732,17,-10
1118736,18,1493
1119732,19,3920
1120732,20,5558
1121732,21,3789
1122732,22,5107
1123732,23,8825
1124736,24,9393
1125732,25,9224
1126732,26,4490
1127732,27,89
1128732,28,-2730
1129732,29,-2396
1130736,30,-40
1131732,31,3998
1132736,32,8998
1133732,33,9110
1134732,34,6895
1135732,35,3688
1136736,36,1419
1137732,37,-929
1138732,38,-1046
1139736,39,2433
1140732,40,4864
1141736,41,7176
1142732,42,11835
1143732,43,9750
1144732,44,6958
1145732,45,150
1146732,46,-3997
1147732,47,-1715
1148736,48,2783
1149732,49,5181
1150732,50,7224
1151732,51,8402
1152732,52,7764
1153736,53,4503
1154732,54,-155
1155736,55,1198
1156736,56,2865
1157732,57,2665
1158732,58,5761
1159732,59,8576
1160732,60,7992
1161732,61,7638
1162736,62,4388
1163732,63,-801
1164732,64,224
1165736,65,603
1166736,66,5134
1167732,67,3770
1168732,68,6928
1169736,69,7773
1170732,70,7446
1171732,71,5276
1172736,72,793
1173732,73,1386
1174732,74,2899
1175732,75,4647
1176732,76,4211
1177736,77,3042
1178732,78,2105
1179736,79,1653
1180732,80,3218
1181732,81,6716
1182736,82,9756
1183736,83,8760
1184732,84,4676
1185732,85,487
1186736,86,2807
1187736,87,3607
1188732,88,3444
1189732,89,2410
1190732,90,1390
1191732,91,2420
1192732,92,4391
1193732,93,6595
1194732,94,7312
1195736,95,4533
1196736,96,5808
1197732,97,6611
1198732,98,9371
1199732,99,8286
1200736,100,5841
1201736,101,1897
1202732,102,-1213
1203732,103,-2697
1204736,104,-1665
1205732,105,834
1206732,106,1688
1207736,107,4338
1208732,108,7965
1209732,109,12162
1210732,110,12552
1211732,111,10749
1212736,112,4819
1213732,113,362
1214736,114,-2168
1215732,115,-1221
1216732,116,-2675
1217732,117,-1127
1218736,118,4121
1219732,119,8799
1220732,120,11659
1221736,121,9908
1222736,122,6315
1223736,123,4093
1224732,124,2790
1225736,125,234
1226732,126,-813
1227732,127,-462
1228732,128,1990
1229732,129,3061
1230732,130,7687
1231736,131,8634
1232732,132,8031
1233732,133,7303
1234736,134,7221
1235732,135,6275
1236732,136,3987
1237736,137,2427
1238732,138,-564
1239732,139,-55
1240736,140,-705
1241736,141,947
1242736,142,2954
1243732,143,7942
1244732,144,8939
1245732,145,7027
1246736,146,7767
1247736,147,3889
1248736,148,1999
1249732,149,1108
1250736,150,4511
1251732,151,4136
1252732,152,5145
1253736,153,5041
1254736,154,6897
1255732,155,6293
1256732,156,6334
1257736,157,4192
1258736,158,1585
1259736,159,870
1260736,160,-1303
1261732,161,-2962
1262736,162,4638
1263736,163,8716
1264736,164,11448
1265736,165,8945
1266732,166,6799
1267736,167,3960
1268732,168,2288
1269732,169,-481
1270736,170,837
1271736,171,1690
1272732,172,2859
1273732,173,4970
1274736,174,4224
1275732,175,7492
1276732,176,8355
1277732,177,7561
1278732,178,5421
1279732,179,3204
1280732,180,-594
1281732,181,-3607
1282732,182,-1502
1283732,183,2891
1284736,184,8760
1285732,185,12195
1286736,186,12013
1287732,187,8236
1288732,188,3538
1289736,189,-989
1290732,190,-2042
1291736,191,64
1292732,192,3571
1293732,193,6858
1294732,194,8227
1295736,195,7630
1296732,196,4455
1297736,197,2671
1298732,198,264
1299732,199,-81
1300736,200,1659
1301732,201,3404
1302736,202,4208
1303736,203,4753
1304732,204,5424
1305732,205,6271
1306732,206,10233
1307732,207,8333
1308736,208,6235
1309732,209,3161
1310732,210,2839
1311732,211,-2180
1312732,212,863
1313736,213,3614
1314732,214,7007
1315736,215,8260
1316732,216,6178
1317736,217,5484
1318732,218,4447
1319736,219,5056
1320732,220,2286
1321736,221,2125
1322732,222,2539
1323736,223,1720
1324732,224,3470
1325732,225,4210
1326736,226,6801
1327732,227,7133
1328732,228,6697
1329732,229,6185
1330732,230,5716
1331732,231,5605
1332732,232,3193
1333732,233,694
1334732,234,-1195
1335732,235,-34
1336732,236,573
1337732,237,1697
1338732,238,5165
1339736,239,8427
1340732,240,8670
1341736,241,6495
1342732,242,7927
1343736,243,5682
1344732,244,3040
1345732,245,2262
1346736,246,872
1347732,247,251
1348732,248,1494
1349736,249,5211
1350732,250,9087
1351736,251,9937
1352732,252,8176
1353740,253,5643
1354732,254,699
1355736,255,-2202
1356732,256,-605
1357732,257,140
1358732,258,-146
1359736,259,5094
1360736,260,10806
1361732,261,10381
1362736,262,8240
1363732,263,3924
1364732,264,3128
1365736,265,-144
1366736,266,34
1367732,267,1188
1368732,268,4475
1369736,269,8957
1370732,270,8261
1371732,271,2901
1372736,272,1743
1373732,273,4568
1374732,274,3129
1375736,275,6559
1376736,276,4913
1377732,277,3872
1378732,278,974
1379736,279,3301
1380732,280,2190
1381732,281,3004
1382732,282,4565
1383732,283,5192
1384736,284,6095
1385732,285,5954
1386732,286,5507
1387732,287,3473
1388736,288,2136
1389736,289,1896
1390732,290,3102
1391732,291,5216
1392732,292,6570
1393732,293,6795
1394732,294,5297
1395736,295,2276
1396732,296,2953
1397736,297,2314
1398732,298,2620
1399736,299,1922
1400732,300,4498
1401732,301,5830
1402736,302,4478
1403732,303,5009
1404732,304,3377
1405732,305,5119
1406732,306,6859
1407736,307,8151
1408736,308,6118
1409732,309,3083
1410736,310,514
1411736,311,-1224
1412732,312,-803
1413732,313,-47
1414732,314,2908
1415736,315,6028
1416732,316,9425
1417732,317,11242
1418732,318,10521
1419732,319,7956
1420732,320,4621
1421732,321,1274
1422736,322,-2945
1423732,323,-2655
1424736,324,1675
1425732,325,2693
1426736,326,2037
1427732,327,6388
1428732,328,9525
1429732,329,5308
1430732,330,5133
1431732,331,5791
1432736,332,2598
1433736,333,564
1434732,334,366
1435736,335,1645
1436732,336,3957
1437736,337,6465
1438732,338,5845
1439732,339,5237
1440732,340,4248
1441732,341,5440
1442736,342,5231
1443732,343,4101
1444736,344,3068
1445732,345,2259
1446732,346,1600
1447732,347,3861
1448736,348,5135
1449732,349,3598
1450732,350,3693
1451732,351,5240
1452736,352,6590
1453736,353,4947
1454732,354,3528
1455732,355,2869
1456732,356,731
1457732,357,-87
1458732,358,5248
1459736,359,6047
1460732,360,6658
1461732,361,6724
1462732,362,6185
1463736,363,6107
1464736,364,4649
1465732,365,3545
1466736,366,2476
1467732,367,881
1468736,368,367
1469736,369,2238
1470732,370,1095
1471732,371,3840
1472732,372,8565
1473732,373,9739
1474736,374,6122
1475732,375,4608
1476736,376,5882
1477736,377,7013
1478736,378,5612
1479732,379,2702
1480736,380,-565
1481740,381,-2537
1482736,382,-1267
1483736,383,-176
1484736,384,3835
1485732,385,8293
1486732,386,10387
1487732,387,8868
1488732,388,9270
1489736,389,6731
1490732,390,1647
1491732,391,-3434
1492732,392,-6394
1493732,393,-3749
1494736,394,-315
1495736,395,7879
1496736,396,12838
1497736,397,14594
1498736,398,11303
1499732,399,8932
1500732,400,3725
1501732,401,-2950
1502736,402,-7007
1503732,403,-5274
1504732,404,217
1505732,405,4435
1506732,406,9294
1507732,407,11683
1508732,408,12448
1509732,409,10431
1510736,410,6584
1511732,411,1312
1512732,412,-1081
1513732,413,-2466
1514732,414,-1376
1515732,415,286
1516736,416,3678
1517736,417,5987
1518736,418,8022
1519736,419,8838
1520736,420,7605
1521732,421,4952
1522732,422,1834
1523736,423,-287
1524732,424,13
1525732,425,3358
1526732,426,3922
1527736,427,6994
1528732,428,7796
1529732,429,10045
1530736,430,7342
1531736,431,4001
1532732,432,1113
1533732,433,-1887
1534736,434,-440
1535732,435,2180
1536732,436,5050
1537732,437,7076
1538732,438,10184
1539732,439,8764
1540732,440,5029
1541732,441,554
1542732,442,-1165
1543732,443,-2329
1544732,444,1042
1545732,445,5420
1546732,446,6211
1547736,447,8287
1548732,448,9151
1549732,449,5850
1550732,450,3594
1551736,451,482
1552736,452,1051
1553732,453,4039
1554732,454,4152
1555736,455,4106
1556736,456,4220
1557732,457,4861
1558732,458,812
1559732,459,-580
1560732,460,3115
1561732,461,6972
1562736,462,8860
1563732,463,6833
1564732,464,6439
1565736,465,3193
1566736,466,2065
1567732,467,7413
1568732,468,5594
1569736,469,3504
1570732,470,1596
1571736,471,1028
1572736,472,1911
1573732,473,2293
1574732,474,3140
1575732,475,4650
1576736,476,5850
1577732,477,5769
1578732,478,5047
1579732,479,4223
1580736,480,4633
1581736,481,3561
1582736,482,2654
1583732,483,1717
1584732,484,5922
1585736,485,6973
1586736,486,6957
1587736,487,4215
1588732,488,2881
1589732,489,4544
1590732,490,6139
1591732,491,4219
1592732,492,3080
1593732,493,711
1594732,494,1113
1595732,495,2167
1596732,496,2470
1597732,497,5087
1598736,498,6917
1599732,499,6643
1600732,500,5389
1601732,501,6890
1602736,502,6277
1603732,503,3363
1604736,504,944
1605736,505,1783
1606732,506,2277
1607732,507,3792
1608732,508,4827
1609740,509,6091
1610732,510,10124
1611736,511,7361
1612732,512,4255
1613732,513,1397
1614736,514,5050
1615736,515,7165
1616732,516,5011
1617732,517,2138
1618736,518,-1210
1619732,519,-2625
1620736,520,-331
1621736,521,2957
1622736,522,7021
1623732,523,10061
1624736,524,9416
1625732,525,7046
1626732,526,6149
1627736,527,6323
1628736,528,4046
1629732,529,1635
1630732,530,-37
1631732,531,592
1632732,532,-682
1633736,533,97
1634732,534,4428
1635732,535,4721
1636736,536,7691
1637736,537,9343
1638736,538,10388
1639732,539,6973
1640736,540,3374
1641732,541,665
1642736,542,262
1643732,543,2714
1644736,544,2250
1645732,545,3119
1646732,546,2671
1647732,547,4256
1648732,548,6586
1649732,549,7143
1650736,550,7675
1651732,551,4995
1652740,552,3250
1653732,553,1126
1654732,554,453
1655732,555,2000
1656732,556,5185
1657736,557,6072
1658732,558,6398
1659732,559,8571
1660736,560,6265
1661732,561,4523
1662732,562,2089
1663732,563,691
1664736,564,-1523
1665736,565,-1621
1666732,566,281
1667736,567,10434
1668736,568,10824
1669736,569,11405
1670736,570,8608
1671732,571,2243
1672732,572,-794
