pc_timestamp,sample_index,raw_value
1100732,0,-256
1101728,1,-1295
1102728,2,858
1103732,3,691
1104728,4,983
1105732,5,-505
1106732,6,-1439
1107728,7,-310
1108728,8,3568
1109728,9,1224
1110728,10,854
1111728,11,-347
1112728,12,1758
1113732,13,2066
1114728,14,432
1115728,15,234
1116732,16,-415
1117732,17,-893
1118728,18,-155
1119728,19,-780
1120728,20,-823
1121728,21,-420
1122728,22,1712
1123728,23,2009
1124732,24,2186
1125728,25,-629
1126732,26,-1284
1127732,27,-2450
1128728,28,-2049
1129728,29,-405
1130732,30,5563
1131728,31,5370
1132728,32,5045
1133728,33,1724
1134732,34,-1350
1135728,35,-3124
1136732,36,-4506
1137732,37,-4347
1138732,38,-3039
1139728,39,-2012
1140732,40,154
1141732,41,3782
1142728,42,5763
1143728,43,6155
1144728,44,3839
1145728,45,1309
1146728,46,-2131
1147728,47,-4947
1148732,48,-5193
1149728,49,-2751
1150732,50,-1003
1151728,51,2169
1152728,52,5605
1153728,53,5706
1154732,54,3667
1155728,55,799
1156728,56,-1086
1157728,57,-3139
1158732,58,-3563
1159728,59,-5436
1160732,60,3470
1161728,61,5364
1162728,62,5934
1163728,63,4769
1164728,64,2272
1165728,65,-1884
1166728,66,-5075
1167732,67,-5685
1168728,68,-3952
1169732,69,-2645
1170728,70,1358
1171728,71,3720
1172732,72,6114
1173728,73,5853
1174728,74,4251
1175732,75,1544
1176728,76,-494
1177728,77,-4645
1178732,78,-9494
1179728,79,-6314
1180728,80,-7
1181728,81,4468
1182732,82,8775
1183732,83,7902
1184728,84,4059
1185732,85,-1068
1186728,86,-5222
1187728,87,-7187
1188728,88,-5010
1189732,89,-564
1190728,90,2953
1191728,91,5331
1192728,92,3234
1193732,93,1094
1194732,94,358
1195728,95,727
1196728,96,166
1197728,97,-64
1198728,98,-2279
1199728,99,-1385
1200732,100,32
1201732,101,1493
1202728,102,286
1203732,103,-1723
1204728,104,-495
1205728,105,-162
1206728,106,2256
1207732,107,2978
1208728,108,2983
1209728,109,2790
1210728,110,694
1211732,111,47
1212728,112,-2519
1213728,113,-3911
1214732,114,-1956
1215728,115,-126
1216728,116,1506
1217728,117,1628
1218732,118,2271
1219728,119,3210
1220732,120,2432
1221728,121,238
1222732,122,-2400
1223728,123,-2171
1224732,124,-1805
1225736,125,-485
1226728,126,1569
1227728,127,3738
1228728,128,4131
1229732,129,3367
1230728,130,315
1231728,131,-1440
1232728,132,-1761
1233732,133,-1994
1234728,134,-2361
1235728,135,-2363
1236732,136,66
1237728,137,2206
1238728,138,4823
1239732,139,4806
1240728,140,3447
1241732,141,406
1242728,142,-3770
1243728,143,-5716
1244732,144,-4572
1245728,145,-1353
1246728,146,627
1247728,147,2586
1248732,148,5486
1249728,149,5920
1250728,150,5855
1251732,151,1987
1252732,152,-2661
1253728,153,-5501
1254732,154,-5868
1255728,155,-5554
1256732,156,-2229
1257728,157,1521
1258732,158,6150
1259732,159,6013
1260732,160,2961
1261728,161,912
1262728,162,832
1263728,163,-1011
1264728,164,877
1265728,165,-315
1266732,166,-564
1267728,167,-173
1268732,168,-59
1269732,169,-1478
1270728,170,-3309
1271728,171,-3212
1272732,172,-823
1273732,173,2140
1274728,174,4021
1275728,175,5493
1276732,176,4933
1277732,177,3175
1278732,178,-320
1279732,179,-2814
1280732,180,-5153
1281728,181,-4831
1282732,182,-2407
