pc_timestamp,sample_index,raw_value
1100732,0,7268
1101732,1,8587
1102728,2,7936
1103728,3,4963
1104732,4,4737
1105728,5,3223
1106732,6,1841
1107728,7,1015
1108732,8,10
1109728,9,763
1110732,10,2166
1111728,11,6090
1112728,12,5398
1113732,13,6111
1114728,14,9284
1115728,15,9600
1116732,16,9487
1117732,17,7274
1118732,18,4575
1119728,19,204
1120732,20,-2292
1121728,21,-2324
1122728,22,-3274
1123732,23,-545
1124728,24,2743
1125732,25,6621
1126732,26,11499
1127732,27,13035
1128728,28,10374
1129728,29,6650
1130732,30,4201
1131728,31,956
1132728,32,-4310
1133728,33,-946
1134728,34,3852
1135728,35,6397
1136728,36,8004
1137728,37,8438
1138728,38,7812
1139728,39,6007
1140728,40,5688
1141728,41,4311
1142732,42,2539
1143728,43,94
1144728,44,-1080
1145728,45,-177
1146732,46,4331
1147732,47,5065
1148728,48,9283
1149728,49,10216
1150728,50,9373
1151728,51,6498
1152732,52,2400
1153728,53,325
1154732,54,-1152
1155728,55,-31
1156728,56,121
1157728,57,2761
1158728,58,6173
1159728,59,10365
1160732,60,12129
1161728,61,9846
1162732,62,5264
1163728,63,1461
1164732,64,-868
1165732,65,-1536
1166732,66,-819
1167728,67,-499
1168728,68,2166
1169728,69,4546
1170728,70,6981
1171728,71,9165
1172728,72,10198
1173728,73,10164
1174732,74,8314
1175728,75,4021
1176732,76,-1592
1177732,77,-4179
1178728,78,-3630
1179728,79,383
1180728,80,5093
1181728,81,9831
1182732,82,11248
1183728,83,10357
1184728,84,7677
1185732,85,4894
1186728,86,1670
1187728,87,72
1188728,88,-117
1189732,89,-469
1190728,90,2813
1191728,91,5506
1192728,92,6684
1193732,93,5300
1194728,94,4008
1195728,95,3832
1196728,96,4174
1197732,97,6599
1198732,98,6900
1199728,99,3016
1200728,100,-673
1201728,101,-62
1202732,102,1654
1203732,103,2750
1204728,104,5749
1205728,105,8777
1206728,106,10253
1207728,107,7640
1208728,108,4738
1209732,109,626
1210732,110,40
1211732,111,868
1212728,112,1415
1213732,113,5972
1214728,114,7825
1215728,115,6410
1216728,116,5628
1217732,117,2756
1218728,118,3080
1219728,119,3893
1220728,120,4764
1221728,121,5555
1222732,122,3944
1223732,123,3905
1224728,124,3157
1225732,125,3849
1226732,126,3222
1227728,127,1965
1228732,128,3243
1229732,129,4888
1230728,130,4518
1231732,131,5059
1232728,132,5728
1233728,133,5649
1234732,134,5625
1235728,135,5504
1236732,136,4591
1237732,137,3951
1238732,138,2625
1239728,139,1101
1240728,140,950
1241728,141,2893
1242732,142,4732
1243732,143,4962
1244728,144,3880
1245728,145,4357
1246728,146,4694
1247728,147,5207
1248728,148,4976
1249728,149,6096
1250732,150,6406
1251728,151,3062
1252732,152,1987
1253728,153,1479
1254728,154,4295
1255732,155,5220
1256728,156,7680
1257728,157,7888
1258732,158,7879
1259732,159,5066
1260728,160,1481
1261728,161,-3340
1262732,162,-3061
1263728,163,-377
1264728,164,3157
1265728,165,7973
1266728,166,10599
1267732,167,11787
1268732,168,9437
1269732,169,5371
1270732,170,1940
1271732,171,-786
1272728,172,-1802
1273728,173,-895
1274728,174,1673
1275728,175,4505
1276732,176,7128
1277732,177,8200
1278728,178,6669
1279728,179,5651
1280728,180,3724
1281732,181,3535
1282732,182,3749
1283728,183,3197
1284728,184,4312
1285728,185,5248
1286728,186,3774
1287732,187,3446
1288728,188,2745
1289732,189,4037
1290728,190,3769
1291728,191,4981
1292732,192,3711
1293728,193,3272
1294732,194,5856
1295728,195,5780
1296732,196,7436
1297728,197,5658
1298728,198,2689
1299732,199,-1156
1300728,200,1338
1301728,201,2449
1302728,202,3999
1303732,203,6024
1304732,204,7231
1305728,205,8386
1306732,206,7443
1307728,207,7013
1308728,208,3897
1309728,209,782
1310736,210,-1494
1311728,211,-1993
1312732,212,-428
1313728,213,3610
1314728,214,10713
1315732,215,9875
1316728,216,6782
1317732,217,3555
1318728,218,1025
1319732,219,1102
1320728,220,2548
1321732,221,1936
1322732,222,5352
1323728,223,6085
1324732,224,5151
1325728,225,5173
1326732,226,3566
1327728,227,3150
1328732,228,3094
1329728,229,4368
1330732,230,5087
1331728,231,5171
1332732,232,1822
1333728,233,1302
1334732,234,613
1335728,235,3616
1336728,236,9493
1337728,237,10638
1338728,238,11269
1339728,239,7827
1340732,240,3349
1341728,241,-2612
1342728,242,-4246
1343728,243,-2906
1344732,244,-161
1345728,245,3816
1346732,246,8554
1347728,247,10661
1348728,248,11946
1349728,249,10420
1350728,250,8179
1351732,251,4032
1352728,252,-530
1353736,253,-3141
1354728,254,-3946
1355728,255,-1783
1356728,256,1225
1357728,257,4463
1358728,258,6996
1359728,259,8516
1360728,260,8673
1361728,261,9592
1362732,262,9689
1363728,263,8361
1364728,264,4806
1365732,265,2350
1366732,266,-492
1367728,267,-2651
1368732,268,-1668
1369728,269,-703
1370728,270,1613
1371728,271,5505
1372728,272,7759
1373732,273,9709
1374728,274,9338
1375728,275,8270
1376728,276,3649
1377728,277,779
1378728,278,-2668
1379732,279,-1571
1380728,280,-459
1381728,281,2557
1382728,282,5861
1383728,283,7529
1384728,284,9634
1385732,285,8160
1386728,286,4155
1387732,287,3686
1388728,288,5874
1389728,289,3774
1390732,290,3384
1391728,291,2221
1392728,292,1188
1393732,293,-272
1394728,294,2508
1395728,295,3811
1396732,296,8215
1397728,297,10025
1398732,298,10595
1399728,299,7530
1400728,300,4425
1401728,301,759
1402732,302,-2099
1403728,303,-2374
1404728,304,-673
1405732,305,2452
1406728,306,5016
1407728,307,7404
1408728,308,8622
1409732,309,9879
1410728,310,8106
1411728,311,6556
1412732,312,3908
1413728,313,1049
1414732,314,-409
1415732,315,-500
1416728,316,1851
1417728,317,3632
1418732,318,4103
1419728,319,4904
1420728,320,7162
1421728,321,7547
1422728,322,7239
1423732,323,5918
1424732,324,3903
1425728,325,2514
1426728,326,149
1427728,327,-217
1428728,328,1266
1429732,329,4454
1430732,330,6144
1431732,331,7007
1432732,332,7999
1433732,333,7383
1434728,334,3699
1435732,335,70
1436728,336,890
1437728,337,3936
1438732,338,7354
1439728,339,9425
1440728,340,10471
1441728,341,7487
1442728,342,3819
1443728,343,-1804
1444732,344,-6291
1445732,345,-6091
1446728,346,-1096
1447728,347,6192
1448732,348,12056
1449728,349,14633
1450728,350,15417
1451728,351,11797
1452728,352,4798
1453728,353,-2789
1454728,354,-5090
1455728,355,-4328
1456732,356,-1760
1457728,357,1088
1458728,358,4520
1459728,359,7794
1460732,360,8107
1461732,361,9484
1462732,362,9800
1463728,363,9192
1464728,364,7639
1465728,365,2049
1466732,366,-412
1467732,367,-168
1468732,368,-969
1469732,369,867
1470728,370,2156
1471728,371,4598
1472732,372,5900
1473732,373,8323
1474728,374,8202
1475732,375,7020
1476728,376,3813
1477732,377,1645
1478728,378,1192
1479732,379,2602
1480728,380,4510
1481736,381,5265
1482728,382,5266
1483732,383,4098
1484728,384,1389
1485728,385,2393
1486728,386,3572
1487732,387,8750
1488728,388,7130
1489728,389,4787
1490732,390,3773
1491728,391,4355
1492728,392,3843
1493732,393,2383
1494732,394,2677
1495728,395,2516
1496728,396,2698
1497728,397,2594
1498728,398,3279
1499728,399,4402
1500728,400,5696
1501728,401,5200
1502732,402,7509
1503732,403,8511
1504732,404,8805
1505728,405,6684
1506728,406,3592
1507728,407,-769
1508728,408,-1535
1509728,409,-1737
1510732,410,1834
1511728,411,3654
1512728,412,3095
1513728,413,7221
1514728,414,8994
1515732,415,11031
1516728,416,10359
1517728,417,8227
1518728,418,2873
1519732,419,-333
1520732,420,-3080
1521728,421,-3630
1522732,422,-2638
1523732,423,1153
1524728,424,6631
1525732,425,8464
1526728,426,10217
1527728,427,11036
1528728,428,9028
1529728,429,6534
