time_ms,rms
132,0.56
265,1.08
398,1.44
531,1.67
664,1.98
798,2.19
931,2.34
1064,2.33
1198,2.37
1331,2.41
1464,2.57
1597,2.55
1730,2.53
1863,2.61
1996,2.54
2129,2.59
2263,2.57
2397,2.57
2530,2.69
2663,2.59
2796,2.61
2929,2.59
3062,2.7
3195,2.63
3329,2.68
3462,2.7
3595,2.67
3729,2.66
3862,2.73
3995,2.63
4128,2.69
4261,2.71
4395,2.67
4528,2.59
4661,2.68
4794,2.75
4927,2.73
5060,2.63
5194,2.7
5327,2.77
5460,2.85
5594,2.88
5727,2.86
5860,2.81
5993,2.77
6126,2.73
6259,2.65
6392,2.61
6525,2.65
6659,2.64
6793,2.62
6926,2.55
7059,2.44
7192,2.53
7325,2.58
7458,2.55
7591,2.52
7725,2.56
7858,2.56
7991,2.55
8125,2.65
8258,2.74
8391,2.68
8524,2.71
8657,2.75
8791,2.72
8924,2.91
9057,2.85
9190,2.81
9323,2.71
9456,2.66
9590,2.72
9723,2.8
9857,2.81
9990,2.81
10123,2.82
10256,2.72
10389,2.71
10522,2.71
10656,2.67
10789,2.64
10923,2.64
11056,2.52
11189,2.48
11322,2.61
11456,2.63
11589,2.75
11722,2.81
11855,2.84
11988,2.66
12122,2.66
12255,2.56
12389,2.68
12522,2.69
12655,2.57
12788,2.63
12921,2.61
13054,2.56
13188,2.7
13322,2.74
13455,2.67
13588,2.92
13721,2.92
13854,2.93
13987,3.01
14120,2.94
14255,2.85
14388,2.79
14521,2.92
14654,2.91
14787,2.85
14921,2.75
15054,2.66
15187,2.69
15321,2.65
15454,2.71
15587,2.81
15720,2.75
15854,2.72
15987,2.69
16120,2.69
16253,2.72
16387,2.71
16521,2.72
16654,2.78
16787,2.73
16920,2.78
17053,2.83
17186,2.79
17319,2.76
17454,2.81
17587,2.73
17720,2.72
17853,2.67
17986,2.61
18119,2.57
18253,2.66
18386,2.64
18520,2.71
18653,2.73
18786,2.73
18919,2.73
19052,2.65
19185,2.61
19319,2.69
19452,2.7
19586,2.73
19719,2.71
19852,2.63
19985,2.61
20118,2.63
20252,2.64
20385,2.61
20518,2.55
20652,2.57
20785,2.49
20918,2.73
21051,2.64
21184,2.59
21318,2.6
21451,2.67
21584,2.71
21718,2.57
21851,2.7
21984,2.61
22118,2.7
22251,2.8
22384,2.77
22517,2.75
22650,2.75
22784,2.73
22917,2.67
23051,2.58
23184,2.56
23317,2.59
23450,2.68
23583,2.66
23716,2.57
23851,2.68
23984,2.67
24117,2.62
24250,2.61
24383,2.52
24516,2.61
24649,2.75
24782,2.67
24916,2.66
25050,2.73
25183,2.71
25316,2.68
25449,2.64
25582,2.77
25715,2.9
25849,2.89
25982,3.01
26116,2.99
26249,2.83
26382,2.67
26515,2.73
26648,2.73
26782,2.71
26915,2.74
27048,2.67
27182,2.67
27315,2.69
27448,2.7
27582,2.88
27715,2.8
27848,2.83
27981,2.93
28114,2.89
28248,2.79
28381,2.8
28514,2.87
28648,2.79
28781,2.73
28914,2.58
29047,2.56
29180,2.56
29314,2.6
29447,2.6
29580,2.68
29714,2.72
29847,2.87
29980,2.86
30113,2.77
30246,2.75
30380,2.83
30514,2.87
30647,2.81
30780,2.89
30913,2.95
31046,2.94
31179,2.86
31312,2.89
31446,2.7
31580,2.64
31713,2.7
31846,2.67
31979,2.65
32112,2.63
32245,2.66
32378,2.71
32512,2.72
32646,2.74
32779,2.57
32912,2.72
33045,2.77
33178,2.78
33311,2.74
33444,2.83
33579,2.8
33712,2.76
33845,2.73
33978,2.72
34111,2.75
34244,2.78
34377,2.71
34510,2.78
34644,2.83
34778,2.82
34911,2.74
35044,2.7
35177,2.71
35310,2.73
35443,2.79
35576,2.84
35710,2.88
35844,2.94
35977,2.88
36110,2.84
36243,2.74
36376,2.63
36509,2.6
36643,2.64
36776,2.55
36910,2.6
37043,2.83
37176,2.88
37309,2.85
37443,2.75
37576,2.8
37709,2.84
37842,2.87
37976,2.87
38109,2.87
38243,2.86
38376,2.8
38509,2.81
38642,2.78
38775,2.81
38908,2.91
39042,2.86
39175,2.79
39309,2.71
39442,2.68
39575,2.65
39708,2.58
39841,2.62
39974,2.64
