time_ms,rms
132,2.2
265,3.72
398,5.72
531,6.65
664,7.83
797,8.16
930,9.64
1063,10.04
1198,10.02
1331,10.26
1464,10.73
1597,10.39
1730,9.95
1863,9.46
1996,9.17
2130,8.63
2264,8.15
2397,8.26
2530,7.84
2663,7.35
2796,7.21
2929,7.09
3062,7.15
3195,6.89
3329,6.81
3462,6.5
3595,6.56
3728,6.74
3861,6.67
3994,6.71
4127,6.86
4260,6.92
4393,6.95
4527,6.73
4660,6.49
4794,6.5
4927,6.8
5060,6.49
5193,6.92
5326,6.74
5459,6.65
5593,6.62
5726,6.47
5859,6.15
5992,6.19
6125,6.12
6258,6.37
6391,6.3
6524,6.63
6658,6.36
6791,6.82
6924,7.13
7057,7.17
7190,6.9
7323,6.85
7456,6.69
7589,6.73
7724,6.34
7857,6.85
7990,6.7
8123,6.84
8256,6.55
8389,6.59
8522,6.34
8655,6.31
8788,6.46
8922,6.64
9055,6.63
9188,6.7
9321,6.74
9454,7.16
9587,6.71
9720,6.53
9853,6.64
9987,6.64
10120,6.96
10253,7.31
10387,7.42
10520,6.91
10653,6.67
10786,6.71
10919,6.47
11053,6.42
11186,6.47
11319,6.32
11452,6.15
11585,6.56
11718,6.8
11851,6.33
11985,6.63
12119,6.45
12252,6.41
12385,6.14
12518,6.21
12651,6.58
12784,6.84
12917,7.01
13050,6.98
13184,6.7
13317,6.77
13450,6.67
13583,6.29
13717,6.6
13850,6.41
13983,6.55
14116,6.47
14249,6.44
14383,6.62
14516,6.66
14649,6.68
14783,6.82
14916,6.73
15049,6.82
15182,6.23
15315,6.08
15449,6.13
15582,6.27
15715,6.4
15848,6.32
15981,6.23
16114,6.12
16247,6.14
16380,7.19
16515,6.95
16647,6.7
16781,6.73
16914,6.89
17047,7.1
17180,6.65
17313,6.65
17446,6.77
17580,6.49
17713,6.57
17846,6.26
17979,6.13
18113,6.39
18246,6.41
18379,6.25
18512,6.79
18646,6.78
18779,6.5
18912,6.24
19045,6.28
19178,6.11
19311,6.14
19444,6.52
19577,6.56
19710,6.36
19845,6.08
19978,6.3
20111,6.45
20244,6.53
20377,6.43
20510,6.19
20643,6.3
20776,6.46
20910,6.28
21043,6.45
21176,6.61
21309,6.7
21442,6.63
21575,6.77
21709,6.64
21842,6.87
21976,7.06
22109,7.12
22242,7.06
22375,7.07
22508,6.74
22641,6.68
22774,7.02
22907,7.19
23041,6.85
23175,6.65
23308,6.36
23441,6.48
23574,6.37
23707,6.2
23840,6.32
23973,6.79
24107,6.55
24240,6.56
24373,6.78
24507,7.37
24640,7.04
24773,7.13
24906,7.18
25039,6.94
25172,6.66
25306,6.51
25439,6.83
25572,6.55
25705,6.27
25838,5.87
25971,6.07
26104,6.25
26237,6.27
26372,6.43
26505,6.67
26638,6.98
26771,6.87
26904,7.01
27037,7.02
27170,6.92
27303,6.88
27437,6.71
27570,6.69
27703,6.79
27837,6.38
27970,6.18
28103,6.06
28236,6.03
28369,6.13
28503,6.15
28636,6.14
28769,6.47
28902,6.35
29035,6.25
29168,6.23
29302,6.47
29435,6.48
29569,6.34
29702,6.31
29835,6.5
29968,6.59
30101,6.75
30234,6.6
30367,6.28
30500,6.44
30633,6.5
30768,6.88
30901,6.74
31034,7.52
31167,7.43
31300,7.57
31433,7.67
31566,7.9
31699,7.68
31833,7.15
31967,7.06
32100,7.13
32233,7.11
32366,7.6
32499,7.34
32632,7.2
32765,7.04
32899,6.88
33032,7.27
33166,7.08
33299,6.54
33432,6.77
33565,6.71
33698,6.66
33831,6.94
33965,6.66
34098,6.53
34231,6.21
34364,6.0
34497,6.58
34630,6.35
34763,6.22
34896,6.36
35030,6.12
35163,6.24
35297,6.3
35430,6.22
35563,6.03
35696,5.88
35829,5.87
35962,6.09
36096,6.21
36229,6.37
36362,6.63
36495,6.91
36628,6.85
36761,6.69
36895,7.02
37028,7.14
37161,7.21
37295,6.95
37428,6.71
37561,6.78
37694,6.89
37827,6.99
37960,6.89
38094,6.66
38227,6.32
38361,6.38
38494,6.25
38627,6.36
38760,6.23
38893,6.38
39026,6.5
39159,6.55
39292,6.51
39426,6.41
39560,6.43
39693,6.49
39826,7.04
39959,6.72
