time_ms,rms
132,1.16
265,2.74
398,3.2
531,3.69
664,3.97
797,4.34
930,4.5
1062,4.82
1197,5.36
1330,5.71
1463,5.62
1596,5.43
1729,5.62
1862,5.68
1994,5.73
2128,6.14
2262,6.23
2395,6.15
2528,5.92
2661,5.55
2794,5.69
2927,6.05
3060,6.55
3193,7.15
3326,7.29
3460,6.99
3593,6.79
3726,6.79
3859,6.98
3992,7.26
4125,6.79
4258,6.74
4391,6.41
4525,6.35
4658,6.6
4791,6.34
4924,6.34
5057,6.41
5190,6.45
5323,6.56
5456,6.63
5590,6.47
5723,6.27
5856,6.09
5989,5.59
6122,5.72
6255,5.78
6388,5.78
6521,5.66
6654,5.85
6788,5.96
6921,5.98
7054,5.99
7187,6.13
7320,6.2
7453,6.43
7586,6.02
7719,5.85
7853,5.72
7986,5.84
8119,5.96
8253,5.96
8386,6.78
8519,6.6
8652,6.72
8785,6.36
8919,6.64
9052,6.55
9185,6.29
9318,6.39
9451,6.31
9584,6.6
9717,6.52
9850,6.39
9984,6.47
10117,6.32
10250,6.31
10383,7.01
10516,6.68
10649,6.76
10782,6.68
10915,6.65
11048,6.54
11182,6.91
11315,7.48
11448,7.35
11581,7.45
11715,7.01
11848,7.09
11981,7.05
12114,7.12
12248,7.63
12381,7.36
12514,7.21
12647,7.4
12780,7.06
12913,6.83
13046,7.28
13179,7.4
13313,7.21
13447,7.18
13580,6.61
13713,6.52
13846,6.32
13979,6.61
14112,6.39
14245,6.12
14379,6.43
14512,6.23
14645,6.45
14778,6.12
14911,6.09
15044,6.0
15177,5.73
15310,6.2
15443,6.82
15577,6.78
15711,7.15
15844,6.72
15977,6.44
16110,6.12
16243,6.16
16376,5.73
16509,5.82
16643,6.4
16776,6.32
16909,6.36
17042,6.08
17175,6.09
17308,5.9
17441,6.39
17574,6.4
17708,6.03
17841,6.15
17974,6.45
18107,6.15
18240,6.31
18373,6.35
18506,6.28
18639,6.84
18772,6.72
18906,6.5
19039,6.73
19172,6.54
19305,6.44
19439,6.64
19572,6.28
19705,6.18
19838,6.05
19972,5.99
20105,6.35
20238,6.48
20371,6.5
20504,6.57
20637,6.83
20770,6.91
20903,7.13
21037,7.04
21170,6.95
21303,6.75
21437,6.69
21570,6.37
21703,6.38
21836,6.2
21969,6.23
22103,6.51
22236,6.25
22369,6.3
22502,6.85
22635,6.66
22768,6.69
22901,7.29
23034,7.09
23168,7.15
23301,6.93
23434,7.0
23568,7.05
23700,6.73
23834,7.04
23967,6.72
24100,6.73
24233,6.36
24367,6.19
24500,6.56
24633,6.36
24766,6.73
24899,7.0
25032,6.63
25165,6.49
25298,6.54
25432,6.85
25565,6.96
25698,6.89
25831,6.7
25964,6.25
26097,6.19
26230,6.09
26364,5.94
26498,6.33
26631,5.94
26764,5.83
26897,6.12
27030,6.56
27163,6.44
27296,6.23
27429,6.39
27563,6.2
27696,6.32
27829,6.14
27962,6.17
28095,6.07
28228,5.91
28361,5.93
28494,5.95
28627,5.91
28761,6.37
28894,6.86
29027,7.05
29160,6.79
29293,6.6
29427,6.84
29560,6.66
29693,6.82
29827,6.64
29960,6.51
30093,6.5
30226,6.96
30359,6.79
30492,6.83
30625,6.75
30758,7.39
30892,7.46
31025,7.53
31158,7.06
31291,7.39
31424,7.1
31557,7.16
31691,7.2
31824,6.76
31958,6.81
32091,6.75
32224,6.42
32357,6.69
32490,6.54
32623,6.29
32756,6.46
32889,6.43
33022,6.29
33156,6.65
33289,7.01
33422,6.99
33555,6.73
33688,6.44
33821,6.4
33954,6.49
34087,6.89
34221,7.08
34354,6.81
34487,6.44
34621,6.19
34754,6.04
34887,6.13
35020,5.95
35153,5.87
35287,6.06
35420,6.14
35553,5.9
35686,5.96
35819,6.16
35952,6.47
36085,6.8
36218,6.71
36352,6.32
36485,6.23
36618,6.05
36751,6.32
36884,6.19
37017,6.09
37150,6.2
37283,5.95
37417,6.19
37551,6.24
37684,6.45
37817,6.1
37950,6.19
38083,6.11
38216,6.09
38349,5.8
38482,5.82
38616,5.85
38749,6.63
38882,6.62
39015,6.34
39148,7.11
39281,6.99
39414,6.69
39547,6.68
39681,6.7
39815,6.87
39948,7.12
