time_ms,rms
132,0.58
265,0.87
398,1.16
531,1.34
664,1.49
797,1.61
930,1.66
1063,1.69
1197,1.84
1330,1.97
1463,2.0
1596,1.92
1729,1.9
1862,1.86
1995,1.83
2128,1.73
2262,1.71
2395,1.76
2528,1.92
2661,1.9
2794,1.88
2927,1.9
3060,1.95
3193,1.95
3326,1.94
3460,1.88
3593,1.85
3726,1.81
3859,1.83
3992,1.8
4125,1.89
4258,1.87
4391,1.99
4525,1.99
4658,1.91
4791,1.83
4924,1.79
5056,1.88
5190,1.95
5323,2.02
5455,1.94
5588,2.02
5722,2.0
5855,1.93
5988,1.93
6122,1.94
6255,1.95
6388,1.96
6521,1.99
6654,1.97
6788,1.98
6921,2.02
7054,1.99
7187,1.89
7320,1.9
7453,1.93
7586,1.91
7719,1.94
7853,2.05
7986,2.07
8119,2.04
8252,2.01
8385,1.93
8518,1.96
8651,1.97
8784,2.05
8918,2.11
9051,2.18
9184,2.15
9317,2.06
9450,2.07
9583,2.06
9716,2.08
9849,2.04
9982,2.11
10116,2.07
10249,2.12
10382,2.05
10515,2.01
10648,2.04
10781,1.98
10914,1.94
11047,1.93
11181,1.85
11314,1.91
11447,2.03
11580,1.98
11713,1.98
11846,1.9
11979,1.84
12112,1.87
12246,1.91
12379,1.84
12512,1.87
12645,1.96
12779,1.99
12912,1.94
13045,1.86
13178,1.81
13312,1.83
13445,1.82
13578,1.83
13711,1.73
13844,1.72
13977,1.7
14110,1.72
14243,1.79
14376,1.81
14510,1.8
14643,1.81
14776,1.85
14909,1.86
15042,1.86
15175,1.85
15309,1.91
15442,2.0
15576,2.03
15709,2.03
15842,2.07
15975,1.95
16108,1.92
16241,1.87
16374,1.82
16507,1.79
16641,1.81
16774,1.78
16907,1.81
17040,1.91
17173,1.91
17306,1.9
17439,1.81
17572,1.96
17705,2.05
17840,2.02
17973,2.0
18106,2.02
18239,1.89
18372,1.84
18505,1.82
18638,1.88
18771,1.82
18905,1.81
19038,1.81
19171,1.78
19304,1.8
19437,1.83
19570,1.9
19703,1.92
19836,1.87
19971,1.9
20104,1.94
20237,1.92
20370,1.85
20503,1.81
20636,1.85
20769,1.75
20902,1.85
21036,1.84
21169,1.86
21302,1.99
21435,2.02
21568,2.0
21701,1.9
21834,1.95
21967,1.86
22100,1.97
22234,2.0
22367,1.98
22500,1.94
22633,2.01
22766,1.91
22900,1.9
23033,1.9
23166,1.89
23300,2.01
23433,1.98
23566,1.98
23699,1.89
23832,1.8
23965,1.8
24098,1.81
24231,1.8
24365,1.85
24498,1.79
24631,1.75
24764,1.89
24898,1.91
25031,1.98
25164,1.95
25297,2.04
25431,2.04
25564,2.05
25697,2.03
25830,1.92
25963,1.95
26096,1.93
26229,1.93
26362,1.89
26496,1.9
26629,1.93
26762,1.91
26895,1.95
27028,1.92
27161,2.02
27294,2.03
27427,2.07
27561,2.04
27695,1.99
27828,1.93
27961,2.06
28094,2.12
28227,2.05
28360,2.05
28493,2.08
28626,2.08
28760,2.1
28893,2.0
29026,2.11
29159,1.97
29292,1.95
29425,1.9
29558,1.9
29691,1.93
29826,1.92
29959,1.91
30092,1.88
30225,1.89
30358,1.87
30491,1.84
30624,1.91
30757,1.89
30891,1.97
31024,1.86
31157,2.02
31290,1.97
31423,2.0
31556,1.95
31689,1.96
31822,1.93
31955,1.97
32089,1.95
32222,2.02
32355,1.94
32488,1.89
32621,1.82
32754,1.96
32888,1.94
33021,1.95
33155,1.99
33288,2.09
33421,2.05
33554,2.16
33687,2.12
33820,2.08
33953,1.96
34086,1.99
34220,2.01
34353,1.93
34486,1.85
34619,1.89
34752,1.93
34885,1.9
35018,1.85
35151,1.94
35284,1.91
35418,1.91
35551,1.93
35684,1.83
35818,1.84
35951,1.93
36084,1.92
36217,1.92
36350,1.91
36484,1.92
36617,1.92
36750,1.85
36883,1.83
37016,1.89
37149,1.95
37282,1.95
37415,1.95
37549,1.91
37682,1.8
37815,1.74
37948,1.85
38081,1.83
38215,1.83
38348,1.75
38481,1.8
38615,1.9
38748,1.84
38881,1.88
39014,1.91
39147,1.97
39280,1.93
39413,1.99
39546,2.09
39680,2.0
39813,1.96
39946,1.91
