time_ms,rms
132,0.51
265,0.85
398,1.21
531,1.46
664,1.64
798,1.77
931,1.93
1064,2.05
1198,2.15
1331,2.24
1464,2.27
1597,2.36
1730,2.33
1863,2.32
1997,2.32
2130,2.41
2264,2.53
2397,2.59
2530,2.61
2663,2.61
2797,2.6
2930,2.56
3063,2.52
3196,2.54
3330,2.58
3463,2.55
3596,2.57
3729,2.54
3863,2.63
3996,2.64
4129,2.76
4262,2.74
4396,2.77
4529,2.72
4663,2.73
4796,2.72
4929,2.69
5062,2.75
5195,2.74
5328,2.73
5463,2.74
5596,2.65
5729,2.66
5862,2.75
5995,2.72
6128,2.78
6262,2.79
6395,2.74
6529,2.74
6662,2.76
6795,3.18
6929,3.61
7062,4.08
7195,4.06
7328,3.71
7461,6.24
7595,6.24
7728,5.57
7862,5.32
7995,5.11
8128,4.46
8261,4.18
8394,3.95
8527,3.8
8662,3.62
8795,3.4
8928,3.25
9061,3.14
9194,3.03
9327,2.93
9460,2.85
9594,2.74
9728,2.71
9861,2.7
9994,2.59
10127,2.52
10260,2.53
10393,2.48
10527,2.51
10660,2.51
10793,2.53
10927,2.58
11060,2.58
11193,2.68
11326,2.64
11460,2.57
11593,2.57
11726,2.58
11859,2.66
11993,2.58
12127,2.56
12260,2.51
12393,2.5
12526,2.46
12659,2.48
12792,2.47
12926,2.51
13060,2.59
13193,2.68
13326,2.6
13459,2.57
13592,2.55
13726,2.47
13859,2.48
13992,2.46
14126,2.43
14259,2.54
14392,2.49
14526,2.42
14659,2.42
14792,2.48
14925,2.45
15058,2.48
15192,2.44
15326,2.52
15459,2.5
15592,2.46
15725,2.49
15858,2.58
15992,2.64
16125,2.73
16259,2.64
16392,2.62
16525,2.6
16659,2.6
16792,2.55
16925,2.63
17058,2.63
17191,2.75
17326,2.61
17459,2.55
17592,2.51
17725,2.57
17858,2.53
17991,2.62
18125,2.6
18258,2.48
18392,2.5
18525,2.54
18658,2.55
18791,2.63
18925,2.6
19058,2.6
19191,2.59
19324,2.63
19458,2.54
19592,2.57
19725,2.5
19858,2.57
19991,2.59
20124,2.62
20258,2.49
20391,2.52
20525,2.5
20658,2.49
20791,2.53
20925,2.6
21058,2.62
21191,2.57
21324,2.52
21457,2.54
21591,2.5
21725,2.45
21858,2.51
21991,2.55
22124,2.51
22257,2.52
22390,2.52
22524,2.55
22658,2.54
22791,2.49
22924,2.54
23057,2.56
23191,2.6
23324,2.66
23457,2.59
23590,2.54
23724,2.53
23857,2.58
23991,2.47
24124,2.42
24257,2.36
24390,2.44
24523,2.5
24657,2.59
24791,2.54
24924,2.54
25057,2.57
25190,2.56
25324,2.6
25457,2.58
25590,2.6
25723,2.7
25857,2.65
25990,2.55
26124,2.59
26257,2.59
26390,2.67
26523,2.56
26656,2.63
26790,2.62
26924,2.59
27057,2.6
27190,2.57
27323,2.47
27457,2.45
27590,2.38
27723,2.37
27856,2.37
27990,2.42
28124,2.44
28257,2.41
28390,2.45
28523,2.52
28656,2.51
28790,2.53
28923,2.52
29057,2.5
29190,2.47
29323,2.54
29457,2.52
29590,2.52
29723,2.47
29856,2.42
29989,2.48
30123,2.42
30256,2.41
30390,2.41
30523,2.33
30656,2.43
30789,2.34
30922,2.36
31056,2.36
31190,2.38
31323,2.44
31456,2.47
31589,2.5
31723,2.43
31856,2.43
31989,2.45
32122,2.42
32256,2.48
32389,2.56
32523,2.56
32656,2.51
32789,2.53
32922,2.5
33055,2.46
33189,2.51
33323,2.62
33456,2.6
33589,2.51
33722,2.56
33855,2.49
33989,2.46
34122,2.5
34255,2.46
34388,2.51
34522,2.56
34656,2.66
34789,2.67
34922,2.67
35055,2.61
35188,2.61
35321,2.61
35456,2.58
35589,2.61
35722,2.63
35855,2.64
35988,2.59
36122,2.62
36255,2.62
36388,2.61
36521,2.6
36656,2.63
36789,2.66
36922,2.71
37055,2.68
37188,2.67
37322,2.63
37455,2.55
37588,2.5
37722,2.49
37855,2.57
37988,2.58
38121,2.59
38255,2.65
38388,2.69
38521,2.7
38654,2.66
38788,2.69
38922,2.68
39055,2.7
39188,2.7
39321,2.68
39455,2.68
39588,2.67
39721,2.7
39855,2.68
39988,2.58
