time_ms,rms
32,0.22
65,0.31
99,0.43
133,0.53
165,0.68
199,0.76
232,0.8
266,0.9
300,0.96
332,1.06
366,1.12
400,1.17
433,1.19
466,1.25
500,1.33
533,1.37
567,1.33
601,1.32
633,1.34
667,1.35
701,1.44
734,1.36
768,1.4
801,1.44
834,1.39
868,1.42
901,1.39
934,1.38
968,1.39
1001,1.37
1035,1.38
1069,1.42
1101,1.43
1135,1.53
1169,1.54
1203,1.57
1235,1.59
1269,1.62
1303,1.6
1336,1.6
1370,1.57
1403,1.55
1436,1.57
1470,1.57
1504,1.54
1538,1.55
1570,1.47
1604,1.53
1638,1.5
1671,1.5
1704,1.46
1738,1.55
1771,1.52
1805,1.57
1839,1.56
1871,1.51
1905,1.53
1939,1.47
1972,1.42
2006,1.46
2039,1.49
2073,1.51
2106,1.47
2140,1.49
2173,1.48
2206,1.5
2240,1.54
2274,1.53
2307,1.44
2340,1.39
2374,1.5
2407,1.45
2441,1.52
2475,1.5
2507,1.53
2541,1.54
2575,1.55
2609,1.59
2641,1.56
2675,1.55
2709,1.57
2742,1.5
2776,1.45
2809,1.48
2842,1.54
2876,1.51
2910,1.49
2942,1.49
2976,1.46
3010,1.46
3043,1.4
3077,1.38
3110,1.44
3143,1.5
3177,1.45
3211,1.43
3245,1.48
3277,1.46
3311,1.51
3345,1.55
3378,1.53
3411,1.52
3445,1.53
3478,1.59
3512,1.62
3546,1.52
3578,1.52
3612,1.56
3646,1.57
3680,1.53
3713,1.54
3746,1.59
3780,1.59
3814,1.56
3847,1.54
3880,1.53
3914,1.46
3947,1.47
3981,1.5
4015,1.49
4047,1.51
4081,1.51
4115,1.52
4149,1.54
4182,1.51
4215,1.48
4249,1.45
4282,1.48
4316,1.49
4349,1.47
4382,1.49
4416,1.5
4450,1.45
4483,1.56
4516,1.45
4550,1.43
4583,1.44
4617,1.44
4651,1.48
4683,1.49
4717,1.42
4751,1.4
4784,1.39
4817,1.42
4851,1.44
4884,1.46
4918,1.4
4952,1.46
4985,1.48
5018,1.49
5052,1.48
5086,1.43
5118,1.42
5152,1.4
5186,1.44
5219,1.37
5253,1.36
5286,1.36
5319,1.31
5353,1.37
5387,1.41
5421,1.42
5453,1.49
5487,1.43
5521,1.48
5554,1.51
5587,1.55
5621,1.58
5654,1.54
5688,1.51
5722,1.54
5755,1.63
5788,1.65
5822,1.63
5856,1.66
5889,1.58
5922,1.54
5956,1.54
5989,1.65
6023,1.58
6056,1.58
6090,1.59
6123,1.5
6157,1.53
6191,1.57
6223,1.51
6257,1.54
6291,1.5
6324,1.46
6358,1.55
6391,1.56
6424,1.54
6458,1.53
6492,1.51
6524,1.47
6558,1.49
6592,1.56
6625,1.59
6659,1.66
6692,1.63
6725,1.6
6759,1.59
6793,1.62
6827,1.59
6859,1.56
6893,1.6
6927,1.57
6960,1.65
6993,1.56
7027,1.52
7060,1.62
7094,1.49
7128,1.51
7160,1.51
7194,1.49
7228,1.48
7261,1.42
7294,1.45
7328,1.47
7362,1.53
7395,1.5
7429,1.46
7462,1.43
7495,1.47
7529,1.45
7563,1.49
7596,1.51
7629,1.49
7663,1.53
7696,1.51
7730,1.54
7763,1.59
7796,1.53
7830,1.52
7864,1.57
7898,1.61
7930,1.59
7964,1.61
7998,1.61
8031,1.61
8065,1.56
8098,1.58
8131,1.51
8165,1.51
8199,1.59
8231,1.61
8265,1.52
8299,1.53
8332,1.5
8366,1.52
8399,1.54
8433,1.43
8466,1.48
8500,1.47
8534,1.49
8566,1.47
8600,1.5
8634,1.46
8667,1.51
8700,1.45
8734,1.45
8767,1.42
8801,1.5
8835,1.46
8867,1.44
8901,1.48
8935,1.5
8969,1.5
9001,1.5
9035,1.5
9069,1.48
9102,1.48
9136,1.47
9169,1.44
9202,1.4
9236,1.46
9270,1.46
9304,1.5
9336,1.43
9370,1.45
9404,1.44
9437,1.51
9470,1.54
9504,1.59
9537,1.54
9571,1.6
9605,1.57
9637,1.53
9671,1.57
9705,1.48
9739,1.43
9772,1.43
9805,1.48
9839,1.46
9872,1.5
9906,1.54
9939,1.52
9972,1.51
10006,1.46
10040,1.47
