time_ms,rms
515,0.2
1031,0.32
1547,0.42
2063,0.53
2579,0.64
3095,0.74
3611,0.82
4127,0.89
4643,0.96
5159,1.03
5676,1.09
6193,1.14
6709,1.18
7225,1.23
7741,1.24
8257,1.27
8773,1.31
9289,1.33
9805,1.37
10321,1.39
10838,1.41
11354,1.44
11870,1.45
12386,1.46
12903,1.46
13419,1.47
13935,1.5
14451,1.51
14967,1.53
15483,1.55
16000,1.55
16516,1.57
17032,1.6
17548,1.62
18064,1.63
18580,1.62
19096,1.61
19613,1.61
20129,1.62
20645,1.64
21161,1.65
21678,1.64
22194,1.64
22710,1.64
23226,1.65
23742,1.64
24258,1.64
24774,1.64
25290,1.62
25806,1.61
26322,1.63
26839,1.61
27355,1.61
27871,1.62
28388,1.62
28904,1.62
29420,1.61
29936,1.62
30452,1.6
30968,1.6
31484,1.63
32001,1.63
32517,1.64
33033,1.63
33549,1.63
34065,1.63
34581,1.63
35097,1.65
35613,1.66
36129,1.65
36645,1.67
37161,1.66
37679,1.64
38195,1.64
38711,1.62
39227,1.64
39743,1.66
40259,1.65
40775,1.65
41291,1.64
41807,1.63
42323,1.62
42840,1.62
43356,1.64
43872,1.63
44388,1.64
44905,1.63
45421,1.66
45937,1.68
46453,1.68
46969,1.69
47485,1.68
48002,1.67
48518,1.68
49034,1.68
49550,1.68
50066,1.66
50582,1.65
51098,1.65
51615,1.67
52131,1.67
52647,1.68
53164,1.68
53680,1.68
54196,1.68
54712,1.68
55228,1.71
55744,1.7
56260,1.73
56776,1.75
57292,1.76
57808,1.76
58324,1.76
58841,1.75
59357,1.74
59873,1.75
60389,1.75
60905,1.74
61421,1.73
61937,1.73
62453,1.7
62969,1.71
63485,1.7
64002,1.7
64518,1.7
65034,1.72
65550,1.71
66066,1.71
66583,1.7
67099,1.7
67615,1.71
68131,1.73
68647,1.72
69164,1.7
69680,1.71
70196,1.73
70712,1.75
71228,1.72
71744,1.71
72260,1.7
72776,1.7
73292,1.71
73808,1.71
74324,1.71
74841,1.68
75357,1.67
75874,1.66
76390,1.65
76906,1.66
77422,1.67
77938,1.67
78454,1.65
78970,1.67
79486,1.67
80003,1.65
80519,1.64
81035,1.63
81551,1.63
82067,1.65
82584,1.65
83100,1.64
83616,1.64
84132,1.64
84648,1.64
85165,1.65
85681,1.66
86197,1.67
86713,1.66
87229,1.66
87745,1.66
88261,1.65
88777,1.63
89293,1.62
89809,1.63
90327,1.66
90843,1.66
91359,1.69
91875,1.68
92391,1.68
92907,1.69
93423,1.7
93939,1.69
94455,1.68
94971,1.64
95488,1.63
96005,1.63
96521,1.65
97037,1.65
97553,1.64
98069,1.62
98585,1.63
99101,1.64
99617,1.66
100133,1.66
100649,1.67
101166,1.68
101682,1.67
102199,1.66
102715,1.64
103231,1.66
103747,1.68
104263,1.68
104779,1.67
105295,1.68
105811,1.67
106328,1.67
106844,1.69
107361,1.69
107877,1.69
108393,1.68
108909,1.67
109425,1.68
109941,1.67
110457,1.64
110973,1.65
111490,1.63
112007,1.65
112523,1.68
113039,1.67
113555,1.67
114071,1.68
114587,1.69
115103,1.7
115619,1.69
116135,1.71
116652,1.7
117169,1.73
117685,1.7
118201,1.68
118717,1.68
119233,1.69
119749,1.7
120265,1.7
120781,1.72
121297,1.71
121815,1.7
122331,1.69
122847,1.67
123363,1.68
123879,1.68
124395,1.68
124911,1.67
125427,1.66
125944,1.65
126460,1.66
126977,1.66
127493,1.68
128009,1.67
128525,1.69
129041,1.68
129557,1.68
130074,1.69
130590,1.66
131106,1.66
131622,1.65
132139,1.68
132655,1.68
133171,1.67
133687,1.66
134203,1.66
134719,1.67
135236,1.66
135752,1.68
136268,1.67
136784,1.69
137300,1.69
137817,1.69
138333,1.71
138849,1.7
139365,1.71
139881,1.69
140397,1.7
140913,1.7
141429,1.7
141945,1.7
142462,1.73
142979,1.75
143495,1.78
144011,1.76
144527,1.77
145043,1.75
145559,1.77
146075,1.75
146591,1.75
147107,1.72
147623,1.71
148140,1.69
148657,1.69
149173,1.68
149689,1.68
150205,1.66
150721,1.63
151237,1.65
151753,1.65
152269,1.66
152786,1.65
153303,1.64
153819,1.65
154335,1.65
154851,1.66
