time_ms,rms
132,0.39
315,0.68
497,0.89
680,1.01
864,1.17
1046,1.23
1229,1.35
1413,1.36
1596,1.33
1779,1.36
1963,1.49
2145,1.47
2328,1.49
2511,1.45
2694,1.51
2877,1.57
3060,1.59
3244,1.55
3426,1.62
3609,1.61
3792,1.6
3976,1.68
4158,1.64
4341,1.56
4525,1.53
4708,1.52
4890,1.44
5073,1.58
5257,1.58
5440,1.68
5622,1.73
5806,1.62
5989,1.65
6172,1.84
6354,1.95
6538,1.87
6721,1.77
6904,1.72
7087,1.72
7270,1.67
7453,1.6
7636,1.69
7819,1.66
8002,1.61
8185,1.57
8369,1.66
8551,1.72
8734,1.71
8918,1.74
9101,1.8
9283,1.68
9466,1.71
9650,1.7
9833,1.7
10016,1.66
10199,1.65
10382,1.68
10565,1.62
10748,1.68
10932,1.64
11114,1.65
11297,1.65
11481,1.7
11664,1.68
11847,1.64
12029,1.6
12213,1.59
12396,1.64
12579,1.62
12763,1.57
12946,1.68
13128,1.64
13312,1.63
13495,1.63
13678,1.54
13861,1.73
14044,1.74
14227,1.82
14410,1.79
14594,1.84
14777,1.8
14959,1.7
15142,1.66
15326,1.64
15509,1.64
15692,1.69
15876,1.66
16058,1.7
16241,1.74
16424,1.74
16608,1.75
16791,1.7
16973,1.71
17157,1.7
17340,1.68
17523,1.75
17707,1.77
17890,1.7
18072,1.7
18255,1.78
18439,1.73
18622,1.7
18805,1.64
18988,1.72
19171,1.72
19354,1.66
19537,1.68
19720,1.65
19903,1.58
20086,1.64
20270,1.68
20453,1.62
20635,1.64
20818,1.68
21002,1.64
21185,1.56
21368,1.66
21551,1.64
21734,1.64
21917,1.59
22100,1.62
22283,1.61
22466,1.66
22649,1.63
22833,1.69
23016,1.72
23199,1.75
23382,1.8
23565,1.71
23748,1.76
23931,1.72
24115,1.74
24297,1.76
24480,1.81
24664,1.8
24847,1.68
25030,1.62
25213,1.67
25396,1.68
25579,1.65
25762,1.61
25946,1.54
26129,1.47
26311,1.47
26494,1.47
26678,1.48
26861,1.47
27044,1.56
27227,1.56
27410,1.56
27593,1.53
27777,1.5
27959,1.48
28142,1.49
28325,1.46
28509,1.52
28692,1.61
28875,1.64
29058,1.57
29241,1.56
29424,1.58
29607,1.67
29791,1.67
29974,1.54
30156,1.48
30340,1.48
30523,1.5
30706,1.51
30889,1.52
31072,1.55
31255,1.62
31438,1.63
