time_ms,rms
132,0.31
315,0.61
497,0.8
680,0.98
864,1.16
1046,1.27
1229,1.26
1413,1.32
1596,1.43
1778,1.42
1961,1.39
2145,1.42
2328,1.44
2510,1.45
2694,1.53
2877,1.56
3060,1.56
3243,1.55
3426,1.54
3609,1.47
3792,1.48
3975,1.5
4158,1.43
4341,1.47
4525,1.52
4707,1.5
4890,1.47
5073,1.42
5256,1.43
5439,1.44
5622,1.47
5806,1.54
5989,1.48
6171,1.5
6354,1.39
6538,1.44
6721,1.52
6903,1.49
7087,1.41
7270,1.34
7453,1.46
7635,1.52
7819,1.57
8002,1.54
8185,1.51
8368,1.56
8551,1.56
8734,1.56
8918,1.5
9100,1.58
9283,1.57
9466,1.61
9650,1.64
9833,1.61
10015,1.49
10199,1.55
10382,1.53
10565,1.49
10747,1.52
10931,1.48
11114,1.46
11297,1.5
11480,1.48
11663,1.44
11846,1.42
12029,1.44
12213,1.49
12396,1.49
12578,1.44
12762,1.49
12945,1.51
13128,1.54
13312,1.57
13494,1.53
13677,1.56
13860,1.59
14044,1.58
14227,1.66
14409,1.58
14593,1.54
14776,1.53
14959,1.49
15142,1.52
15326,1.52
15508,1.53
15691,1.56
15875,1.56
16058,1.51
16241,1.47
16423,1.43
16607,1.46
16790,1.46
16973,1.51
17157,1.54
17339,1.6
17522,1.55
17705,1.51
17889,1.54
18072,1.55
18254,1.52
